Relatório de palavras-chave da rede de pesquisa
1 de junho de 2026 - 30 de junho de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Impr.,Interações,Taxa de interação,Código da moeda,Custo médio,Custo,Cliques,CTR,Taxa de conv.,Conversões,Custo / conv.
Ativado,yerba mate extract,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,Yerba mate extracts in dry,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada; raramente exibido,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,organic yerba mate,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,green mate leaf extract powder,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,natural extract for beverages,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,"""natural yerba mate extract""",Correspondência de frase,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,mate leaf extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate tincture,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate leaf extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,mate extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate extract caffeine,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,"""liquid botanical extract""",Correspondência de frase,[PESQUISA] [INTERNACIONAL],EXTRATOS,Limitado,baixa qualidade,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate extrakt,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,botanical extract powder,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Limitado,baixa qualidade,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate ingredient,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate extract benefits,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,antioxidant liquid extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,natural antioxidant powder,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,liquid botanical extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Limitado,baixa qualidade,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate liquid extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate extract powder,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,"""plant extract for functional beverages""",Correspondência de frase,[PESQUISA] [INTERNACIONAL],EXTRATOS,Não qualificado,raramente exibido,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,green mate leaf extract,Correspondência ampla,[PESQUISA] [INTERNACIONAL],EXTRATOS,Qualificado,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
,,Total: Palavras-chave na sua conta,,,,,,2,0,"0,00%",BRL,0,"0,00",0,"0,00%","0,00%","0,00","0,00"
,,Total: Suas palavras-chave,,,,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
,,Total: Correspondências expandidas da AI Max,,,,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
,,Total: Correspondências de páginas de destino da AI Max,,,,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
,,Total: Inclusões de URL na sua conta,,,,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,2,0,"0,00%",BRL,0,"0,00",0,"0,00%","0,00%","0,00","0,00"
,,Total: Conta,,,,,,2,0,"0,00%",BRL,0,"0,00",0,"0,00%","0,00%","0,00","0,00"
,,Total: Performance Max,,,,,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
,,Total: Pesquisa,,,,,,2,0,"0,00%",BRL,0,"0,00",0,"0,00%","0,00%","0,00","0,00"
